id,drug_id,food_name,severity,description,management_text,mechanism_flags,reference_text
389,DDInter1796,alcohol,Moderate,"Concurrent use of ethanol and phenothiazines may result in additive CNS depression and psychomotor impairment.  Also, ethanol may precipitate dystonic reactions in patients who are taking phenothiazines.",Patients should be advised to avoid alcohol during phenothiazine therapy.,,
390,DDInter1793,alcohol,Moderate,Concurrent use of ethanol and phenothiazines may result in additive CNS depression and psychomotor impairment.,Patients should be advised to avoid alcohol during phenothiazine therapy.,,
391,DDInter1795,alcohol,Major,"Concurrent acute use of barbiturates and ethanol may result in additive CNS effects,  including impaired coordination, sedation, and death.  Tolerance of these agents may occur with chronic use.  The mechanism is related to inhibition of microsomal enzymes acutely and induction of hepatic microsomal enzymes chronically.",The combination of ethanol and barbiturates should be avoided.,,
392,DDInter1798,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
393,DDInter1801,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
394,DDInter1811,alcohol,Moderate,Use of alcohol or products containing alcohol during nitroimidazole therapy may result in a disulfiram-like reaction in some patients.,"Because clear evidence is lacking concerning the safety of ethanol use during nitroimidazole therapy, patients should be apprised of the potential for interaction and instructed to avoid alcoholic beverages and products containing alcohol or propylene glycol while using oral, intravenous, or vaginal preparations of a nitroimidazole.  Alcoholic beverages should not be consumed for up to 3 days after completion of systemic nitroimidazole therapy.",,
395,DDInter1817,high-fat foods,Moderate,"Food does not appear to substantially alter the pharmacokinetics of tipranavir.  When tipranavir capsules or oral solution was coadministered with ritonavir capsules at steady-state, no clinically significant changes in tipranavir peak plasma concentration (Cmax) and systemic exposure (AUC) were observed under fed conditions (500 to 682 kcal, 23% to 25% calories from fat) relative to fasted conditions.  The effect of food on tipranavir exposure during coadministration with ritonavir tablets has not been evaluated.  High-fat foods may enhance the gastrointestinal absorption of tipranavir.  In a multiple-dose study, administration of tipranavir capsules with a high-fat meal (868 kcal, 53% from fat, 31% from carbohydrates) increased the oral bioavailability of tipranavir by 31% compared to administration with toast and skimmed milk, but did not significantly affect tipranavir Cmax.  Thus, tipranavir may be safely taken with standard or high-fat meals.","Tipranavir coadministered with low-dose ritonavir should be taken with food to improve the gastrointestinal tolerability of ritonavir.  According to the product labeling, tipranavir coadministered with ritonavir capsules or solution can be taken with or without meals, whereas tipranavir coadministered with ritonavir tablets must be taken with meals.",,
396,DDInter1808,food,Moderate,"Food significantly decreases the bioavailability of tiludronate.  The manufacturer reports up to a 90% decrease in bioavailability when administered with or 2 hours after a standard breakfast.  Clinical efficacy, however, was demonstrated when tiludronate was taken 2 hours before or after meals.",Tiludronate should be administered with 6 to 8 ounces of plain water at least 2 hours before or 2 hours after food.,,
397,DDInter1814,alcohol,Moderate,The concomitant or sequential use of other agents known to induce hepatotoxicity may potentiate the risk of liver injury associated with thioguanine.,"The risk of hepatic injury should be considered when thioguanine is used with other potentially hepatotoxic agents (e.g., acetaminophen; alcohol; androgens and anabolic steroids; antituberculous agents; azole antifungal agents; ACE inhibitors; cyclosporine (high dosages); disulfiram; endothelin receptor antagonists; interferons; ketolide and macrolide antibiotics; kinase inhibitors; minocycline; nonsteroidal anti-inflammatory agents; nucleoside reverse transcriptase inhibitors; proteasome inhibitors; retinoids; sulfonamides; tamoxifen; thiazolidinediones; tolvaptan; vincristine; zileuton; anticonvulsants such as carbamazepine, hydantoins, felbamate, and valproic acid; lipid-lowering medications such as fenofibrate, lomitapide, mipomersen, niacin, and statins; herbals and nutritional supplements such as black cohosh, chaparral, comfrey, DHEA, kava, pennyroyal oil, and red yeast rice).  Patients should be advised to seek medical attention if they experience potential signs and symptoms of hepatotoxicity such as fever, rash, itching, anorexia, nausea, vomiting, fatigue, malaise, right upper quadrant pain, dark urine, pale stools, and jaundice.  Baseline and regular monitoring of hepatic function is recommended.  Thioguanine therapy should be discontinued if there is evidence of toxic hepatitis or biliary stasis, as reversal of signs and symptoms of liver toxicity have been reported upon withdrawal.  Early indications of liver toxicity are signs associated with portal hypertension such as thrombocytopenia out of proportion with neutropenia and splenomegaly.  Elevations of liver enzymes have also been reported, but do not always occur.",,
398,DDInter181,alcohol,Moderate,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.",Alcohol should generally be avoided during therapy with anticholinergic agents.  Patients should be counseled to avoid activities requiring mental alertness until they know how these agents affect them.,,
399,DDInter1809,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
400,DDInter1804,food,Moderate,The bioavailability and gastrointestinal tolerance of ticlopidine is enhanced by food.,Patients may be advised to take ticlopidine with meals.,,
401,DDInter1821,alcohol,Moderate,"The sedative effect of tizanidine may be potentiated by concomitant use of other agents with central nervous system (CNS) depressant effects.  In addition, tizanidine and many of these agents (e.g., alcohol, anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, muscle relaxants) also can exhibit hypotensive effects, which may be additive during coadministration and may increase the risk of symptomatic hypotension and orthostasis, particularly during initiation of therapy or dose escalation.","Caution is advised and more gradual dose titration may be appropriate when tizanidine is used with other substances that can cause CNS depression and/or hypotension, particularly in elderly or debilitated patients.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to avoid rising abruptly from a sitting or recumbent position.  Patients should contact their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or excessive CNS effects that interfere with their normal activities.",,
402,DDInter1826,alcohol,Moderate,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled diabetes should limit their alcohol intake to one drink daily for women and two drinks daily for men (1 drink = 5 oz wine, 12 oz beer, or 1.5 oz distilled spirits) in conjunction with their normal meal plan.  Alcohol should not be consumed on an empty stomach or following exercise.",,
403,DDInter1829,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
404,DDInter1828,alcohol,Moderate,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled diabetes should limit their alcohol intake to one drink daily for women and two drinks daily for men (1 drink = 5 oz wine, 12 oz beer, or 1.5 oz distilled spirits) in conjunction with their normal meal plan.  Alcohol should not be consumed on an empty stomach or following exercise.",,
405,DDInter183,alcohol,Major,"Use of alcohol or products containing alcohol during nitroimidazole therapy may result in a disulfiram-like reaction in some patients.The presumed mechanism is inhibition of aldehyde dehydrogenase (ALDH) by metronidazole in a manner similar to disulfiram.  Following ingestion of alcohol, inhibition of ALDH results in increased concentrations of acetaldehyde, the accumulation of which can produce an unpleasant physiologic response referred to as the 'disulfiram reaction'.","Because clear evidence is lacking concerning the safety of ethanol use during nitroimidazole therapy, patients should be apprised of the potential for interaction.  Consumption of alcoholic beverages and products containing propylene glycol is specifically contraindicated during and for at least 3 days after completion of metronidazole and benznidazole therapy according to their product labeling.",,
406,DDInter1831,alcohol,Moderate,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,Patients should be counseled on this potential interaction and advised to refrain from alcohol consumption while taking aspirin or NSAIDs.,,
407,DDInter1830,Food High in Potassium,Moderate,Potassium in foods can bind to the cation exchange resin and interfere with potassium removal in the treatment of hyperkalemia.,"To minimize the risk of interaction, patients should be advised to separate the dosing of the cation exchange resin from other orally administered medications by at least 3 hours.  The dosing interval should be increased to 6 hours for patients with gastroparesis or other conditions resulting in delayed emptying of food from the stomach into the small intestine.  Health care professionals should monitor blood levels and/or clinical response to the other medications when appropriate.",,
408,DDInter1833,grapefruit juice,Moderate,Grapefruit juice may significantly increase the plasma concentrations of tolvaptan.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,Patients treated with tolvaptan should avoid consumption of grapefruits and grapefruit juice.,,
409,DDInter1832,alcohol,Moderate,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.",Alcohol should generally be avoided during therapy with anticholinergic agents.  Patients should be counseled to avoid activities requiring mental alertness until they know how these agents affect them.,,
410,DDInter1836,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
411,DDInter1834,alcohol,Moderate,"Topiramate, when coadministered with other CNS depressants including alcoholic beverages, may lead to excessive somnolence and other forms of nervous system depression.","The patient should be informed to avoid alcohol or to use caution if these agents are coadministered, especially if performing hazardous tasks such as driving or operating machinery.",,
412,DDInter1837,grapefruit juice,Moderate,Coadministration with grapefruit juice may theoretically increase the plasma concentrations of toremifene.  The proposed mechanism is inhibition of CYP450 3A4-mediated metabolism by certain compounds present in grapefruit.,"Until more information is available, patients treated with toremifene should consider avoiding the consumption of grapefruit juice and soy-containing products.  Patients should be advised to contact their physician if they experience vaginal bleeding or potential signs of blood clots such as chest pain, shortness of breath, sudden loss of vision, and pain, redness or swelling in an extremity.  Patients should seek immediate medical attention if they experience symptoms that could indicate the occurrence of torsade de pointes such as dizziness, palpitations, or syncope.",,
413,DDInter1845,Tyrosine-rich foods,Major,"Foods that contain large amounts of tyramine may precipitate a hypertensive crisis in patients treated with monoamine oxidase inhibitors (MAOIs).  The mechanism is inhibition of MAO-A, the enzyme responsible for metabolizing exogenous amines such as tyramine in the gut and preventing them from being absorbed intact.  Once absorbed, tyramine is metabolized to octopamine, a substance that is believed to displace norepinephrine from storage granules.","In general, patients treated with MAOIs or other agents that possess MAOI activity (e.g., furazolidone, linezolid, procarbazine) should avoid consumption of products that contain large amounts of amines and protein foods in which aging or breakdown of protein is used to increase flavor.  These foods include cheese (particularly strong, aged or processed cheeses), sour cream, wine (particularly red wine), champagne, beer, pickled herring, anchovies, caviar, shrimp paste, liver (particularly chicken liver), dry sausage, salamis, figs, raisins, bananas, avocados, chocolate, soy sauce, bean curd, sauerkraut, yogurt, papaya products, meat tenderizers, fava bean pods, protein extracts, yeast extracts, and dietary supplements.  Caffeine may also precipitate hypertensive crisis so its intake should be minimized as well.  At least 14 days should elapse following discontinuation of MAOI therapy before these foods may be consumed.  Specially designed reference materials and dietary consultation are recommended so that an appropriate and safe diet can be planned.  Patients should be advised to promptly seek medical attention if they experience potential signs and symptoms of a hypertensive crisis such as severe headache, visual disturbances, difficulty thinking, stupor or coma, seizures, chest pain, unexplained nausea or vomiting, and stroke-like symptoms.  Patients should also be counseled not to use MAOIs with alcohol, and to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them.",,
414,DDInter1842,high-fat foods,Moderate,"Food may reduce as well as delay the absorption of trametinib.  In study subjects, administration of a single dose of trametinib with a high-fat, high-calorie meal decreased peak plasma concentration (Cmax) and systemic exposure (AUC) by 70% and 24%, respectively, and delayed Tmax by approximately 4 hours compared to administration in the fasted state.",Trametinib should be taken at least 1 hour before or 2 hours after a meal.,,
415,DDInter1841,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
416,DDInter1840,grapefruit juice,Moderate,Coadministration with grapefruit juice may increase the plasma concentrations of trabectedin.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,"Consumption of grapefruit or grapefruit juice during treatment with trabectedin should be avoided.  Excessive use of alcohol is also not recommended.  Patients should be advised to seek medical attention if they experience potential signs and symptoms of hepatotoxicity such as fever, rash, itching, anorexia, nausea, vomiting, fatigue, malaise, right upper quadrant pain, dark urine, pale stools, and jaundice.  Monitoring of alkaline phosphatase, bilirubin, AST, and ALT should occur regularly during trabectedin treatment in accordance with the product labeling, or as often as necessary when clinical symptoms develop.  Trabectedin must not be used in patients with elevated bilirubin at the time of initiation of cycle.  Elevated liver function tests should be managed with treatment interruption, dosage reduction, or permanent discontinuation depending on the severity and duration of abnormality.",,
417,DDInter1859,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
418,DDInter1851,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
419,DDInter1843,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
420,DDInter1843,Food High in Potassium,Moderate,"Moderate-to-high dietary intake of potassium can cause hyperkalemia in some patients who are using angiotensin converting enzyme (ACE) inhibitors.  In some cases, affected patients were using a potassium-rich salt substitute.  ACE inhibitors can promote hyperkalemia through inhibition of the renin-aldosterone-angiotensin (RAA) system.",It is recommended that patients who are taking ACE inhibitors be advised to avoid moderately high or high potassium dietary intake.  Particular attention should be paid to the potassium content of salt substitutes.,,
421,DDInter1864,food,Moderate,"The gastrointestinal absorption of trientine may be decreased in the presence of food, resulting in reduced therapeutic effects.","Trientine should be administered on an empty stomach, at least one hour before or two hours after meals and at least one hour apart from any other food, drug, or milk.",,
422,DDInter1860,grapefruit juice,Moderate,"The pharmacologic activity of oral midazolam, triazolam, and alprazolam may be increased if taken after drinking grapefruit juice.  The proposed mechanism is CYP450 3A4 enzyme inhibition.","The manufacturer recommends that grapefruit juice should not be taken with oral midazolam.  Patients taking triazolam or alprazolam should be monitored for excessive sedation.  Alternatively, the patient could consume orange juice which does not interact with these drugs.  Patients should be advised to avoid alcohol during benzodiazepine therapy.",,
423,DDInter1860,alcohol,Moderate,"Acute alcohol ingestion may potentiate CNS depression and other CNS effects of many benzodiazepines.  Tolerance may develop with chronic ethanol use.  The mechanism may be decreased clearance of the benzodiazepines because of CYP450 hepatic enzyme inhibition.  Also, it has been suggested that the cognitive deficits induced by benzodiazepines may be increased in patients who chronically consume large amounts of alcohol.","The manufacturer recommends that grapefruit juice should not be taken with oral midazolam.  Patients taking triazolam or alprazolam should be monitored for excessive sedation.  Alternatively, the patient could consume orange juice which does not interact with these drugs.  Patients should be advised to avoid alcohol during benzodiazepine therapy.",,
424,DDInter1866,alcohol,Moderate,"Concurrent use of ethanol and phenothiazines may result in additive CNS depression and psychomotor impairment.  Also, ethanol may precipitate dystonic reactions in patients who are taking phenothiazines.",Patients should be advised to avoid alcohol during phenothiazine therapy.,,
425,DDInter1871,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
426,DDInter1870,alcohol,Moderate,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.",Alcohol should generally be avoided during therapy with anticholinergic agents.  Patients should be counseled to avoid activities requiring mental alertness until they know how these agents affect them.,,
427,DDInter187,alcohol,Moderate,Alcohol may potentiate the central nervous system and cardiovascular effects of centrally-acting appetite suppressants.,"Concomitant use of centrally-acting appetite suppressants and alcohol should be avoided if possible, especially in patients with a history of cardiovascular disease.  Patients should be counselled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
428,DDInter1873,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
429,DDInter1879,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
430,DDInter1886,alcohol,Moderate,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.",Alcohol should generally be avoided during therapy with anticholinergic agents.  Patients should be counseled to avoid activities requiring mental alertness until they know how these agents affect them.,,
431,DDInter1886,high-fat foods,Moderate,"Food may reduce the oral absorption and bioavailability of trospium chloride.  According to the product labeling, administration of trospium chloride with a high fat meal reduced the peak plasma concentration (Cmax) and area under the concentration-time curve (AUC) by 70% to 80% compared to administration while fasting.","To ensure maximal oral absorption, trospium chloride should be administered at least 1 hour before meals or on an empty stomach.",,
432,DDInter1876,alcohol,Moderate,"Concomitant use of ethanol and a tricyclic antidepressant (TCA) may result altered TCA plasma levels and efficacy, and additive impairment of motor skills, especially driving skills.  Acute ethanol ingestion may inhibit TCA metabolism, while chronic ingestion of large amounts of ethanol may induce hepatic TCA metabolism.",Patients should be advised to avoid alcohol during TCA therapy.  Alcoholics who have undergone detoxification should be monitored for decreased TCA efficacy.  Dosage adjustments may be required.,,
433,DDInter1911,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
434,DDInter1909,grapefruit juice,Major,Coadministration with grapefruit juice may increase the plasma concentration of valbenazine.  The mechanism is inhibition of CYP450 3A4-mediated first-metabolism in the gut wall by certain compounds present in grapefruits.,"Pharmacologic response to valbenazine should be monitored more closely whenever a strong inhibitor of CYP450 3A4 is added to or withdrawn from therapy.  Assessment of baseline QT interval and periodic monitoring during therapy may be considered.  The manufacturer recommends reducing the dose of valbenazine to 40 mg once daily during concomitant administration with strong CYP450 3A4 inhibitors.  Patients should be advised to seek prompt medical attention if they experience symptoms that could indicate the occurrence of torsade de pointes such as dizziness, lightheadedness, fainting, palpitation, irregular heart rhythm, shortness of breath, or syncope.  In addition, patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
435,DDInter1913,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
436,DDInter1929,alcohol,Moderate,Drugs that quench active oxygen species or scavenge radicals are expected to decrease the therapeutic effect of verteporfin.,The clinician should carefully assess the patient for desired benefits and risks before beginning verteporfin therapy.,,
437,DDInter1928,alcohol,Moderate,Verapamil may increase the blood concentrations and intoxicating effects of ethanol.  The exact mechanism of interaction is unknown but may involve verapamil inhibition of ethanol metabolism.,Patients treated with verapamil should be counseled to avoid alcohol consumption.,,
438,DDInter1928,grain,Moderate,Consumption of large quantities of grapefruit juice may be associated with significantly increased plasma concentrations of oral verapamil.  The mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,"Patients treated with oral verapamil should avoid the consumption of large amounts of grapefruit or grapefruit juice to prevent any undue fluctuations in serum drug levels.  Patients should be advised to seek medical attention if they experience edema or swelling of the lower extremities; sudden, unexplained weight gain; difficulty breathing; chest pain or tightness; or hypotension as indicated by dizziness, fainting, or orthostasis.",,
439,DDInter1928,grapefruit juice,Moderate,Consumption of large quantities of grapefruit juice may be associated with significantly increased plasma concentrations of oral verapamil.  The mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,"Patients treated with oral verapamil should avoid the consumption of large amounts of grapefruit or grapefruit juice to prevent any undue fluctuations in serum drug levels.  Patients should be advised to seek medical attention if they experience edema or swelling of the lower extremities; sudden, unexplained weight gain; difficulty breathing; chest pain or tightness; or hypotension as indicated by dizziness, fainting, or orthostasis.",,
440,DDInter1915,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
441,DDInter1915,Food High in Potassium,Moderate,"Moderate-to-high dietary intake of potassium, especially salt substitutes, may increase the risk of hyperkalemia in some patients who are using angiotensin II receptor blockers (ARBs).  ARBs can promote hyperkalemia through inhibition of angiotensin II-induced aldosterone secretion.","Patients should receive dietary counseling and be advised to not use potassium-containing salt substitutes or over-the-counter potassium supplements without consulting their physician.  If salt substitutes are used concurrently, regular monitoring of serum potassium levels is recommended.  Patients should also be advised to seek medical attention if they experience symptoms of hyperkalemia such as weakness, irregular heartbeat, confusion, tingling of the extremities, or feelings of heaviness in the legs.",,
442,DDInter1919,alcohol,Moderate,"Varenicline may enhance the effects of alcohol as well as alter the way an individual reacts to alcohol.  During postmarketing use, some patients have reported experiencing increased intoxicating effects of alcohol while taking varenicline.","Patients should be advised to limit their consumption of alcohol until they know whether varenicline affects their tolerance for alcohol, and to exercise caution driving or operating machinery until they know how quitting smoking and/or varenicline may affect them.  Patients should immediately stop taking varenicline and contact their physician if they develop agitation, hostility, aggressive behavior, depressed mood, or changes in behavior or thinking that are not typical for them, or if they develop suicidal ideation or behavior.",,
